District,Year,GDP
KEPULAUAN SERIBU,2020,3706.25
KOTA JAKARTA BARAT,2020,316172.61
KOTA JAKARTA PUSAT,2020,449518.14
KOTA JAKARTA SELATAN,2020,419257.19
KOTA JAKARTA TIMUR,2020,299515.16
KOTA JAKARTA UTARA,2020,312100.58
KEPULAUAN SERIBU,2021,3648.8
KOTA JAKARTA BARAT,2021,327599.16
KOTA JAKARTA PUSAT,2021,459971.27
KOTA JAKARTA SELATAN,2021,429259.25
KOTA JAKARTA TIMUR,2021,313808.7
KOTA JAKARTA UTARA,2021,330890.18
KEPULAUAN SERIBU,2022,3586.89
KOTA JAKARTA BARAT,2022,345619.56
KOTA JAKARTA PUSAT,2022,481954.45
KOTA JAKARTA SELATAN,2022,451772.69
KOTA JAKARTA TIMUR,2022,329546.33
KOTA JAKARTA UTARA,2022,350233.72
KEPULAUAN SERIBU,2023,3305.0
KOTA JAKARTA BARAT,2023,363931.0
KOTA JAKARTA PUSAT,2023,506560.0
KOTA JAKARTA SELATAN,2023,475806.0
KOTA JAKARTA TIMUR,2023,346508.0
KOTA JAKARTA UTARA,2023,364823.0
